game_id,time,human_id,ai_id,condition,difficulty,confidence,comments,game,round,human_action,human_rt,ai_action,ai_rt,winner
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,24,paper,907,scissors,2193.967911,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,25,paper,1262,scissors,1127.157527,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,26,scissors,1154,paper,2329.715503,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,27,scissors,1102,rock,1133.859693,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,28,rock,1239,scissors,1777.986488,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,29,rock,994,paper,2388.266802,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,30,scissors,1408,rock,2722.560172,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,31,scissors,1153,scissors,2823.106894,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,32,scissors,1291,paper,1291.220394,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,33,scissors,2597,rock,1098.696278,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,34,rock,2836,scissors,2671.496354,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,35,rock,1129,paper,1186.451349,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,36,rock,1190,rock,1117.119502,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,37,paper,1261,scissors,1120.079183,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,38,scissors,1098,paper,694.7313856,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,39,scissors,841,rock,2257.467275,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,40,rock,971,scissors,1820.718295,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,41,rock,924,paper,1863.137927,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,42,scissors,1180,scissors,2506.585591,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,43,scissors,1045,paper,2305.365987,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,44,paper,1254,rock,951.3787789,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,45,scissors,1743,scissors,1629.195563,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,46,scissors,1242,paper,1696.390542,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,47,scissors,1419,rock,1382.166705,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,48,paper,1380,scissors,1724.603753,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,49,paper,1364,paper,2291.851644,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,rps,50,scissors,6023,rock,2249.727426,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,1,water,2381,grass,1705.236346,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,2,grass,1745,water,1003.266305,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,3,grass,969,water,2878.40298,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,4,fire,1172,fire,2177.115514,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,5,fire,1234,grass,875.2754589,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,6,water,1283,water,517.131233,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,7,water,1075,grass,1489.154012,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,8,grass,1062,water,2032.488373,human
